Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gemiddelde snelheid,Max. snelheid,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gemiddelde fietscadans,Max. fietscadans,Training Stress Score®,Grit,Flow,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2024-08-19 16:58:08,false,"Antwerpen Wegwielrennen","74.28","1,723","02:45:23","146","176","3.8","26.9","39.7","142","123","NaN","NaN","NaN","NaN","90","116","0.0","NaN","NaN","14149","NaN","NaN","NaN","20.0","Nee","00:06:20.8","10","29.0","31","15","41","02:42:53","02:55:34","-10","39"
Wegwielrennen,2024-08-10 12:20:11,false,"Oudenaarde Wegwielrennen","30.21","932","02:57:52","--","--","0.1","10.2","48.4","299","292","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","24.0","Nee","00:31:57","4","35.0","--","--","--","02:14:20","04:30:54","10","125"
Wegwielrennen,2024-08-08 17:06:08,false,"Antwerpen Wegwielrennen","74.06","1,760","02:43:50","145","181","4.2","27.1","41.6","147","147","NaN","NaN","NaN","NaN","89","234","0.0","NaN","NaN","13925","NaN","NaN","NaN","21.0","Nee","00:03:04.4","10","33.0","30","12","42","02:43:39","04:00:49","-20","42"
Wegwielrennen,2024-08-05 17:51:16,false,"Antwerpen Wegwielrennen","30.71","566","01:08:59","126","146","2.1","26.7","36.3","64","61","NaN","NaN","NaN","NaN","92","111","0.0","NaN","NaN","6204","NaN","NaN","NaN","24.0","Nee","00:14:04","4","28.0","27","16","34","01:08:58","01:22:11","-18","17"
Wegwielrennen,2024-07-29 18:52:17,false,"Antwerpen Wegwielrennen","43.36","826","01:39:31","132","194","2.8","26.1","54.2","94","95","NaN","NaN","NaN","NaN","85","122","0.0","NaN","NaN","8069","NaN","NaN","NaN","25.0","Nee","00:07:46.7","6","29.0","28","13","39","01:39:18","01:54:16","10","58"
Wegwielrennen,2024-07-24 13:46:56,false,"Antwerpen Wegwielrennen","43.57","1,010","01:32:09","147","171","3.5","28.4","43.2","97","95","NaN","NaN","NaN","NaN","91","180","0.0","NaN","NaN","8128","NaN","NaN","NaN","24.0","Nee","00:08:00.8","6","29.0","32","16","40","01:32:00","01:42:19","-1","75"
Wegwielrennen,2024-07-22 17:01:36,false,"Antwerpen Wegwielrennen","30.74","673","01:04:37","135","179","3.0","28.5","50.6","72","100","NaN","NaN","NaN","NaN","92","119","0.0","NaN","NaN","5600","NaN","NaN","NaN","24.0","Nee","00:11:20","4","28.0","31","13","45","01:02:52","01:17:19","-19","41"
Wegwielrennen,2024-07-17 16:46:15,false,"Antwerpen Wegwielrennen","73.84","1,248","02:55:09","126","170","2.7","25.3","38.1","137","145","NaN","NaN","NaN","NaN","83","119","0.0","NaN","NaN","13880","NaN","NaN","NaN","21.0","Nee","00:02:58.1","10","28.0","25","11","44","02:54:09","03:20:15","-25","92"
Wegwielrennen,2024-07-16 11:31:28,false,"Antwerpen Wegwielrennen","44.49","1,130","01:37:42","148","181","3.5","27.3","47.3","130","139","NaN","NaN","NaN","NaN","91","119","0.0","NaN","NaN","8540","NaN","NaN","NaN","15.0","Nee","00:09:51.8","6","23.0","32","16","40","01:37:28","01:48:38","-35","48"
Wegwielrennen,2024-07-14 10:07:28,false,"Antwerpen Wegwielrennen","77.51","1,335","03:06:03","126","163","2.5","25.0","43.6","177","177","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","19.0","Nee","00:14:17","10","33.0","27","12","41","03:04:58","03:34:50","-28","19"
Wegwielrennen,2024-06-17 16:15:14,false,"Antwerpen Wegwielrennen","59.60","1,309","02:13:14","139","173","3.3","26.8","38.6","119","124","NaN","NaN","NaN","NaN","91","116","0.0","NaN","NaN","11417","NaN","NaN","NaN","17.0","Nee","00:07:06.0","8","28.0","31","13","40","02:12:58","04:58:03","-32","36"
Wegwielrennen,2024-05-20 09:00:40,false,"Antwerpen Wegwielrennen","90.45","1,478","03:13:55","131","179","3.1","28.0","47.8","146","144","NaN","NaN","NaN","NaN","83","178","0.0","NaN","NaN","14572","NaN","NaN","NaN","15.0","Nee","00:04:05.0","12","33.0","25","12","41","03:11:00","05:42:07","5","27"
Wegwielrennen,2024-05-19 11:39:47,false,"Antwerpen Wegwielrennen","45.08","863","01:39:31","134","173","3.0","27.2","40.2","104","104","NaN","NaN","NaN","NaN","86","117","0.0","NaN","NaN","7848","NaN","NaN","NaN","18.0","Nee","00:13:45","6","23.0","30","16","40","01:38:36","01:50:44","6","27"
Wegwielrennen,2024-05-13 17:39:02,false,"Antwerpen Wegwielrennen","30.81","623","01:13:15","133","186","2.9","25.2","51.5","75","70","NaN","NaN","NaN","NaN","84","119","0.0","NaN","NaN","5838","NaN","NaN","NaN","21.0","Nee","00:16:47","4","26.0","28","12","40","01:13:03","01:28:44","-34","19"
Wegwielrennen,2024-05-10 15:58:26,false,"Antwerpen Wegwielrennen","30.56","802","00:58:14","158","177","4.1","31.5","39.5","62","62","NaN","NaN","NaN","NaN","95","117","0.0","NaN","NaN","5347","NaN","NaN","NaN","19.0","Nee","00:12:18","4","25.0","34","16","43","00:58:14","01:15:36","-16","88"
Wegwielrennen,2024-05-05 09:13:05,false,"Antwerpen Wegwielrennen","76.21","1,204","03:07:55","125","164","2.4","24.3","39.3","123","128","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","11.0","Nee","00:12:00","10","22.0","24","12","38","03:04:44","03:23:49","-13","31"
Wegwielrennen,2024-05-01 08:20:56,false,"Antwerpen Wegwielrennen","94.05","1,675","03:41:39","129","163","2.7","25.5","40.1","211","192","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","16.0","Nee","00:15:37","12","29.0","26","12","38","03:39:58","04:53:14","-19","43"
