Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Training Stress Score®,Grit,Flow,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Hardlopen,2024-07-02 18:44:42,false,"Antwerpen Hardlopen","2.61","166","00:11:37","141","164","2.9","161","186","4:27","3:22","15","9","1.41","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","22.0","Nee","00:02:22.1","3","28.0","00:11:09","00:18:56","111","119"
Hardlopen,2024-06-29 10:16:45,false,"Knokke-Heist Hardlopen","6.05","450","00:37:30","133","147","2.7","168","176","6:12","5:10","8","12","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","29.0","Nee","00:00:18.8","7","33.0","00:37:11","00:38:03","29","37"
Hardlopen,2024-06-28 07:54:25,false,"Antwerpen Hardlopen","4.27","310","00:23:13","141","169","2.9","174","182","5:26","4:35","10","7","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","23.0","Nee","00:01:14.6","5","30.0","00:23:01","00:24:08","6","13"
Hardlopen,2024-06-25 11:37:03,false,"Antwerpen Hardlopen","4.25","338","00:23:25","161","191","3.2","169","176","5:31","4:33","9","43","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","30.0","Nee","00:01:08.8","5","36.0","00:23:20","00:24:33","-0","7"
Hardlopen,2024-06-24 20:25:34,false,"Hardlopen","2.52","525","00:37:29","159","196","4.0","61","250","14:53","2:02","5","4","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","30.0","Nee","00:06:48.6","3","32.0","00:19:13","00:37:29","53","58"
Hardlopen,2024-06-22 11:31:04,false,"City of Westminster Hardlopen","6.74","546","00:41:55","147","182","3.3","153","219","6:13","3:49","51","50","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","27.0","Nee","00:04:24.7","7","32.0","00:37:56","00:46:28","67","112"
Hardlopen,2024-06-12 14:39:44,false,"Antwerpen Hardlopen","4.30","328","00:22:03","160","181","3.3","176","182","5:08","4:31","18","13","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","21.0","Nee","00:01:25.7","5","26.0","00:22:01","00:22:36","6","14"
Hardlopen,2024-03-12 10:13:18,false,"Antwerpen Hardlopen","3.65","275","00:19:32","152","185","3.1","173","185","5:21","3:16","10","5","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","18.0","Nee","00:02:24.8","4","24.0","00:19:26","00:20:05","5","11"
Hardlopen,2024-03-04 16:39:52,false,"Antwerpen Hardlopen","3.55","269","00:19:57","147","164","2.8","171","180","5:37","4:59","10","5","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","21.0","Nee","00:03:02.0","4","24.0","00:19:43","00:20:37","5","10"
Hardlopen,2024-03-03 10:00:58,false,"Eeklo Hardlopen","6.33","613","01:17:26","122","159","2.5","60","214","12:14","2:15","48","41","1.37","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","13.0","Nee","00:04:52.1","7","20.0","00:49:02","01:23:42","3","16"
